"ID"	"total"	"total_perMB"	"total_perMB_log"	"EIF2AK4_status"
"TCGA-AG-3881"	77	1.54	0.187520720836463	"Shallow_deletion"
"TCGA-AG-3882"	54	1.08	0.0334237554869497	"Shallow_deletion"
"TCGA-AG-3883"	96	1.92	0.28330122870355	"Normal_deletion"
"TCGA-AG-3887"	60	1.2	0.0791812460476248	"Normal_deletion"
"TCGA-AG-3890"	61	1.22	0.0863598306747482	"Shallow_deletion"
"TCGA-AG-3892"	1851	37.02	1.56843641441689	"Normal_deletion"
"TCGA-AG-3893"	87	1.74	0.2405492482826	"Shallow_deletion"
"TCGA-AG-3894"	75	1.5	0.176091259055681	"Normal_deletion"
"TCGA-AG-3896"	80	1.6	0.204119982655925	"Shallow_deletion"
"TCGA-AG-3898"	78	1.56	0.193124598354462	"Normal_deletion"
"TCGA-AG-3901"	45	0.9	-0.0457574905606751	"Shallow_deletion"
"TCGA-AG-3902"	102	2.04	0.309630167425899	"Normal_deletion"
"TCGA-AG-3909"	73	1.46	0.164352855784437	"Shallow_deletion"
"TCGA-AG-3999"	85	1.7	0.230448921378274	"Shallow_deletion"
"TCGA-AG-4001"	90	1.8	0.255272505103306	"Normal_deletion"
"TCGA-AG-4005"	80	1.6	0.204119982655925	"Shallow_deletion"
"TCGA-AG-4007"	128	2.56	0.40823996531185	"Normal_deletion"
"TCGA-AG-4008"	63	1.26	0.100370545117563	"Shallow_deletion"
"TCGA-AG-4015"	83	1.66	0.220108088040055	"Shallow_deletion"
"TCGA-AG-A002"	9829	196.58	2.29353933073176	"Normal_deletion"
"TCGA-AG-A008"	39	0.78	-0.10790539730952	"Shallow_deletion"
"TCGA-AG-A00C"	52	1.04	0.0170333392987804	"Normal_deletion"
"TCGA-AG-A00H"	56	1.12	0.0492180226701817	"Shallow_deletion"
"TCGA-AG-A00Y"	193	3.86	0.586587304671755	"Shallow_deletion"
"TCGA-AG-A011"	90	1.8	0.255272505103306	"Shallow_deletion"
"TCGA-AG-A014"	132	2.64	0.421603926869831	"Normal_deletion"
"TCGA-AG-A015"	52	1.04	0.0170333392987804	"Normal_deletion"
"TCGA-AG-A016"	38	0.76	-0.119186407719209	"Normal_deletion"
"TCGA-AG-A01L"	60	1.2	0.0791812460476248	"Shallow_deletion"
"TCGA-AG-A01Y"	65	1.3	0.113943352306837	"Normal_deletion"
"TCGA-AG-A020"	60	1.2	0.0791812460476248	"Normal_deletion"
"TCGA-AG-A025"	71	1.42	0.152288344383056	"Normal_deletion"
"TCGA-AG-A026"	170	3.4	0.531478917042255	"Shallow_deletion"
"TCGA-AG-A02G"	44	0.88	-0.0555173278498314	"Shallow_deletion"
"TCGA-AG-A02N"	893	17.86	1.25188145455253	"Normal_deletion"
"TCGA-AG-A02X"	108	2.16	0.334453751150931	"Shallow_deletion"
"TCGA-AG-A032"	69	1.38	0.139879086401236	"Shallow_deletion"
"TCGA-AY-4070"	106	2.12	0.326335860928751	"Shallow_deletion"
"TCGA-AY-4071"	83	1.66	0.220108088040055	"Deep_deletion"
